NBC,BOX NO.,REV,6 DIGIT,LENGTH,WIDTH,DEPTH,STYLE,TEST,PRINTING,COMENT,PZS X HOJA,MEDIDA CORTE A CORTE,ANCHO  CM,LARGO CM,TAPA CM,ALTURA CM,FONDO CM,MATERIAL,OUT/LENGTH,OUT/WIDTH,OUT/DEPTH,CUBE/1,CUBE/12,CUBE/6,CUBE/4,GIR&LNTH/84,SQ FT OF ITEM,LB PER SQ FT,ITEM WT/LB,T/B FLAT DIM,L/R FLAT DIM
NBC320,88J-12,A,026371,23,17.375,9.75,RSC,200 OR 32ECT,PLAIN,NA,NA,NA,70.165,211.105,22.4,25.365,22.4,NA,23.25,17.625,10.25,2.430704753,0.202558729,0.405117459,0.607676188,79,15.91384549,0.122,1.941489149,28.125,40.375
NBC319,C2-BROWN,a,481331,3.875,3.875,5.4375,TTQB,.018CCNB,PLAIN ,WHITE (CLAY COATED) SIDE TO BE CARTON INSIDE,2,40.98x56.56,44,59,NA,NA,NA,0.018,3.911,3.911,5.4915,0.048609693,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC319,G1-1/2-BROWN,b,401550,4.5625,4.5625,5.9375,TTQB,.018CCNB,PLAIN ,WHITE (CLAY COATED) SIDE TO BE CARTON INSIDE,2,47.96x63.84,51,66.5,NA,NA,NA,0.018,4.5985,4.5985,5.9915,0.073320296,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC108,1712,0,600474,9.25,7.875,4.9375,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX,NA,NA,NA,NA,NA,NA,NA,NA,9.5,8.125,5.4375,0.242886013,0.020240501,0.040481002,0.060721503,36.625,3.3671875,0.122,0.410796875,13.8125,17.125
NBC108,2067,0,600460,20.25,6.875,7.0625,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX,NA,NA,NA,NA,NA,NA,NA,NA,20.5,7.125,7.5625,0.639234755,0.053269563,0.106539126,0.159808689,49.875,5.700954861,0.122,0.695516493,14.9375,27.125
NBC108,1704,0,780000,9.9375,6.25,3.5625,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX,NA,NA,NA,NA,NA,NA,NA,NA,10.1875,6.5,4.0625,0.155679208,0.012973267,0.025946535,0.038919802,31.3125,2.483344184,0.122,0.30296799,10.8125,16.1875
NBC108,2042C,0,104410,20.3125,20.3125,7.0625,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX,NA,NA,NA,NA,NA,NA,NA,NA,20.5625,20.5625,7.5625,1.850433491,0.154202791,0.308405582,0.462608373,76.8125,16.13009983,0.122,1.967872179,28.375,40.625
NBC108,2042,0,600495,9.75,9.75,6.625,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX,NA,NA,NA,NA,NA,NA,NA,NA,10,10,7.125,0.412326389,0.034360532,0.068721065,0.103081597,44.25,4.818793403,0.122,0.587892795,17.375,19.5
NBC108,2102,0,657524,21.8125,14.8125,9.3125,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX,NA,NA,NA,NA,NA,NA,NA,NA,22.0625,15.0625,9.8125,1.887068713,0.157255726,0.314511452,0.471767178,71.8125,12.91134983,0.122,1.575184679,25.125,36.625
NBC108,7-2590SY,0,600502,7.0625,7.0625,8.5,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX,NA,NA,NA,NA,NA,NA,NA,NA,7.3125,7.3125,9,0.278503418,0.023208618,0.046417236,0.069625854,39.9375,3.391601563,0.122,0.413775391,16.5625,14.125
